,Sources,Content,Time,Source Links,Time (hours)
0,The Indian Express, Directors of owner firms of Donor No. 3 Qwik Supply are Reliance executives Qwik Supply's registered email address as per the RoC is also linked to Reliance Industries Limited's domain (ril.com).,15 hours ago,https://indianexpress.com/article/india/directors-of-owner-firms-of-donor-no-3-qwik-supply-are-reliance-executives-9217046/,15.0
1,Times of India," 2 Qwik Supply directors linked to Reliance entities; not subsidiary: RIL India News: MUMBAI: Qwik Supply Chain, a little known company, has emerged as the third-largest buyer of electoral bonds at Rs 410 crore...",17 hours ago,https://timesofindia.indiatimes.com/india/2-qwik-supply-directors-linked-to-reliance-entities-not-subsidiary-ril/articleshow/108534060.cms,17.0
2,mint," Paramount to sell Viacom18 stake to Reliance in India exit | Mint Reliance currently owns 57.48% stake in Viacom18, through the latter's parent company TV18 Broadcast Ltd. This will increase to 70.49% after...",1 day ago,https://www.livemint.com/companies/news/reliance-industries-to-buy-out-paramounts-13-01-stake-in-viacom18-for-517-million-11710376358415.html,24.0
3,Business Today," Reliance Industries shares: RIL to buy 13% stake in TV18 Broadcast arm Viacom 18 Media for Rs 4,286 cr RIL said a binding agreement has been entered into between the company and two subsidiaries of Paramount Global to acquire 13.01 per cent...",2 days ago,https://www.businesstoday.in/markets/company-stock/story/reliance-industries-shares-ril-to-buy-13-stake-in-tv18-broadcast-arm-viacom-18-media-for-rs-4286-cr-421379-2024-03-14,48.0
4,The Economic Times," Reliance Ethane Holding invests Rs 853 crore in subsidiaries Reliance Ethane Holding Pte Ltd. (REHPL), a subsidiary of Reliance Industries, invested Rs 284 crore each in three subsidiaries—Ethane Coral...",3 days ago,https://m.economictimes.com/industry/energy/oil-gas/reliance-ethane-holding-invests-rs-853-crore-in-subsidiaries/articleshow/108463559.cms,72.0
5,CNBC TV18," Reliance Industries to acquire 13.01% stake of Paramount global in Viacom18 for ₹4,286 crore Viacom 18 is a material subsidiary of TV18 Broadcast Ltd. On completion of this transaction, Reliance's equity stake in Viacom18 will...",2 days ago,https://www.cnbctv18.com/market/reliance-industries-share-price-paramount-deal-4286-crore-disney-merger-tv18-viacom18-19270051.htm,48.0
6,MarketWatch," Reliance Industries falls Friday, underperforms market Reliance Industries Ltd. shares inched down 0.98% to 2837.25 Indian rupees Friday, on what proved to be an all-around poor trading session...",1 day ago,https://www.marketwatch.com/story/reliance-industries-falls-friday-underperforms-market-8c33b8a7-fc674dffc3b1,24.0
7,Forbes," Billionaire Mukesh Ambani’s Reliance To Buy Paramount’s 13% Stake In Viacom18 For $517 Million Reliance Industries, controlled by Indian billionaire Mukesh Ambani, on Thursday has agreed to buy the 13% stake in TV and streaming company...",2 days ago,https://www.forbes.com/sites/yessarrosendar/2024/03/14/billionaire-mukesh-ambanis-reliance-to-buy-paramounts-13-stake-in-viacom18-for-517-million/,48.0
8,Upstox," Reliance Industries, Tata Motors, L&T & Federal Bank will remain in focus Indian markets witnessed a sharp meltdown on Wednesday, with broader indices falling upto 5%. The FII's remained net seller to the tune...",2 days ago,https://upstox.com/news/market-news/stocks/reliance-industries-tata-motors-landt-and-federal-bank-will-remain-in-focus/,48.0
9,The Hindu," RIL to acquire additional 13% stake in Viacom 18 from Paramount Global The Reliance Industries Ltd. on Thursday, March 14, 2024, informed stock exchanges that it had agreed to acquire 13.01% equity stake (on a...",2 days ago,https://www.thehindu.com/business/ril-to-acquire-additional-13-stake-in-viacom-18-from-paramount-global/article67949495.ece,48.0
